username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018/09/23 03:29;9;17;"We are okay with thousands of deaths each year from human operated cars. We are not okay with a single person dying from an Autonomous car.";;;;"1043688773689729027";https://twitter.com/PPathole/status/1043688773689729027
;2018/09/20 09:43;3;17;"Peugeot has unveiled its vision for the future, a fully-electric and autonomous car, named the e-LEGEND concept. With the automotive industry transitioning to new technology, @Peugeot tackles the change head-on with its e-LEGEND concept. #TwitterCarClubpic.twitter.com/7NVfvQAADQ";;@Peugeot;#TwitterCarClubpic;"1042695613895397376";https://twitter.com/Lease4Less/status/1042695613895397376
;2018/09/19 22:45;91;701;"Beijing has designated 11 more roads for #autonomous-car testing, according to the Beijing Youth Daily. The 11 roads are located in the Fangshan District.";;;#autonomous;"1042530021905096704";https://twitter.com/ChinaDaily/status/1042530021905096704
;2018/09/19 22:20;8;10;"Wow, someone has not been reading their ethical AI homework!?! Motorola patents a robocop autonomous car that brethalyzes, mirandizes you, calls your lawyer and collects your bail https://boingboing.net/2018/09/09/i-cant-let-you-do-that-dave-2.html …";;;;"1042523959051399168";https://twitter.com/martintisne/status/1042523959051399168
;2018/09/15 03:30;6;48;""Autonomous car programmers find autonomous driving software to be difficult. Because they're not smart enough to fix their design, they'll instead complain about the existence of people who use bikes. Limiting your scope to a simpler problem leads to a simpler solution!"";;;;"1040790006128734208";https://twitter.com/apardoe/status/1040790006128734208
;2018/09/12 00:38;116;736;"Survey Finds Majority Of Autonomous Car Crashes In California Caused By Human Error https://trib.al/9wtzdu7  #WhatDoYouThink?pic.twitter.com/WUC8TM5jr2";;;#WhatDoYouThink;"1039659378608156674";https://twitter.com/TheOnion/status/1039659378608156674
;2018/09/07 11:24;20;34;"Watch our autonomous car drive itself around campus! #cranfielduniversity #autonomouscar #handsfree #mustangpic.twitter.com/iHi6QzwKCi";;;#cranfielduniversity #autonomouscar #handsfree #mustangpic;"1038010214845480960";https://twitter.com/CranfieldUni/status/1038010214845480960
;2018/09/07 06:41;14;49;"Would you trust an autonomous car that looks like a muppet? http://f-st.co/y4pXtOd ";;;;"1037938795935682560";https://twitter.com/FastCompany/status/1037938795935682560
;2018/09/07 00:00;9;19;"volvo 360C autonomous car concept is a bedroom, living space and work office on wheels https://www.designboom.com/technology/volvo-360c-concept-autonomous-car-09-06-2018/ …pic.twitter.com/JFttHFA62j";;;;"1037837901869068291";https://twitter.com/designboom/status/1037837901869068291
;2018/09/06 17:33;62;185;"This autonomous car is basically a 'room on wheels' where you can work, relax and even sleep pic.twitter.com/1VXgS55FLD";;;;"1037740458791788544";https://twitter.com/nowthisnews/status/1037740458791788544
;2018/09/06 16:55;10;17;"Volvo reveals bizarre autonomous car that might just be the future of travel https://www.independent.co.uk/life-style/gadgets-and-tech/news/volvo-concept-car-360c-self-driving-autonomous-vehicle-future-a8524531.html?utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#Echobox=1536249116 …";;;#Echobox;"1037730960089985024";https://twitter.com/Independent/status/1037730960089985024
;2018/09/06 06:43;29;33;"Ethical considerations for Artificial Intelligence #Autonomous_Car #CPO #CTO #Deep_Learning #Learning #Machin #Machine_Learning #Robot #AI #Automotive #Education #Events #Lawhttp://bit.ly/2wNY5F9 ";;;#Autonomous_Car #CPO #CTO #Deep_Learning #Learning #Machin #Machine_Learning #Robot #AI #Automotive #Education #Events #Lawhttp;"1037577079594864640";https://twitter.com/SwissCognitive/status/1037577079594864640
;2018/08/31 10:04;5;19;"PRESS RELEASE: Geely and Smart Eye collaborate to make semi-autonomous car in 2019 Find out more here: https://bit.ly/2wvYtZF  #SmartEye #Geely #carspic.twitter.com/0psbSpgj1W";;;#SmartEye #Geely #carspic;"1035453381882667011";https://twitter.com/SmartEyeAB/status/1035453381882667011
;2018/08/30 16:34;5;11;"Waymo Autonomous Car Update: Seeking Perfection In An Imperfect World https://cleantechnica.com/2018/08/30/waymo-autonomous-car-update-seeking-perfection-in-an-imperfect-world/ …pic.twitter.com/F6rldY3OFL";;;;"1035189119717072896";https://twitter.com/cleantechnica/status/1035189119717072896
;2018/08/30 05:38;4;21;"I look forward to the day that my autonomous car can come from my house to pick me up from the bar and take me home That’s the future I want";;;;"1035023924159901696";https://twitter.com/crypto_andrew/status/1035023924159901696
;2018/08/30 04:45;206;239;"Engineers gave this autonomous car ‘eyes’ to help pedestrians trust it #AutonomousVehicles #automobile #Automotive #ArtificialIntelligence #AI @rajat_shrimal cc @MikeQuindazzi @evankirstel @kuriharan @diioannid @SpirosMargaris @chboursin @jblefevre60pic.twitter.com/x5SAfyVWnv";;@rajat_shrimal @MikeQuindazzi @evankirstel @kuriharan @diioannid @SpirosMargaris @chboursin @jblefevre60pic;#AutonomousVehicles #automobile #Automotive #ArtificialIntelligence #AI;"1035010562025902080";https://twitter.com/rajat_shrimal/status/1035010562025902080
;2018/08/29 05:37;23;32;"#IBM #Researchers propose ‘factsheets’ for #AI transparency #Autonomous_Car #Bot #CPO #CTO #Deep #Automotive #Food #Insurance #Telecommunication @SwissCognitive - The Global AI Hubhttp://bit.ly/2P5JHzQ ";;@SwissCognitive;#IBM #Researchers #AI #Autonomous_Car #Bot #CPO #CTO #Deep #Automotive #Food #Insurance #Telecommunication;"1034661265380139010";https://twitter.com/DalithSteiger/status/1034661265380139010
;2018/08/29 00:01;23;87;"hey it turns out one of the autonomous car companies has a bunch of vans on the road that literally don't fucking work. who knew (it was me, i knew)";;;;"1034576716952350720";https://twitter.com/gravislizard/status/1034576716952350720
;2018/08/28 17:19;4;15;"According to @tmz, we have another violent autonomous car. This time the victim was a bike, which -- strangely -- was taken by ambulance to the hospital (or maybe the car was, it's unclear). pic.twitter.com/oPzI7XzlQd";;@tmz;;"1034475584229765120";https://twitter.com/EntitledCycling/status/1034475584229765120
;2018/08/28 16:18;7;11;"“You’re going to have to tell that #autonomous car to a couple of metres of accuracy where you want to go,” what3words founder Chris Sheldrick tells @business @BW Great story about where the idea came from and how 3 word addresses can be used: https://hubs.ly/H0dyX6D0  #innovationpic.twitter.com/S18TFLqaK7";;@business @BW;#autonomous #innovationpic;"1034460134649548800";https://twitter.com/what3words/status/1034460134649548800
;2018/08/27 16:14;8;27;"Congrats @COENCAT Team A3. The first leg of the 3-year SAE/ @GM Autonomous Car AutoDrive Challenge is complete. The team placed third. Now on to year two. #NCAT is on the cutting edge of #Autonomous technology. This is HUGE! https://www.ncat.edu/news/2018/08/ncat-autonomous-car-challenge.html …pic.twitter.com/KVYampBefb";;@COENCAT @GM;#NCAT #Autonomous;"1034096894463692801";https://twitter.com/ncatsuaggies/status/1034096894463692801
;2018/08/26 20:06;13;10;"#DARPA Expert Warns Autonomous Car Firms Aren't Teaming Up on Safe A.I. http://j.mp/2MS41qG  #AI #AutonomousVehiclespic.twitter.com/ZqPiXJZnWs";;;#DARPA #AI #AutonomousVehiclespic;"1033792714800852993";https://twitter.com/AI__TECH/status/1033792714800852993
;2018/08/19 07:28;10;28;"here is my autonomous car competing with other cars at @diyrobocars event today, and my rap time was about 22sec! During the event only my car was successfully finished 3 raps in fully autonomous mode! Thank you @chr1sa for this great event!!pic.twitter.com/sf5lota5Cm";;@diyrobocars @chr1sa;;"1031065406562136064";https://twitter.com/kaduhi_e/status/1031065406562136064
;2018/08/17 15:52;3;32;"Tomorrow is the day for next @DIYRobocars autonomous car race/hackathon in Oakland. All welcome to participate, learn or just watch and eat pizza. Free signup here: https://www.meetup.com/DIYRobocars/events/hdscspyxlbxb/ …";;@DIYRobocars;;"1030467511509114880";https://twitter.com/chr1sa/status/1030467511509114880
;2018/08/17 11:47;10;9;"Why your autonomous car might come with its own drone http://f-st.co/npTSFr5 pic.twitter.com/2hJ9Et4u22";;;;"1030405733500772353";https://twitter.com/FastCoDesign/status/1030405733500772353
;2018/08/17 05:28;16;27;"‘The Beginning of a Wave’: #AI Tiptoes Into the Workplace #Autonomous_Car #Bot #CEO #CTO #Deep_Learning #IBM #Learning #Robot #Automotive #Consulting #Government #Insurance #Research #Telecommunication @SwissCognitive - The Global AI Hubhttp://bit.ly/2vYQWlb ";;@SwissCognitive;#AI #Autonomous_Car #Bot #CEO #CTO #Deep_Learning #IBM #Learning #Robot #Automotive #Consulting #Government #Insurance #Research #Telecommunication;"1030310344898568192";https://twitter.com/andy_fitze/status/1030310344898568192
;2018/08/12 11:30;13;37;"Tesla Model 3 Head Joins Apple’s Autonomous Car 'Project Titan' https://www.inverse.com/article/47989-tesla-model-3-head-just-joined-apple-s-autonomous-car-project-titan?utm_source=facebook&utm_medium=elonquotes&utm_campaign=influencer …";;;;"1028589414983917568";https://twitter.com/ElonMuskNewsOrg/status/1028589414983917568
;2018/08/11 05:23;15;17;"‘The Beginning of a Wave’: #AI Tiptoes Into the Workplace #Autonomous_Car #Bot #CEO #CTO #Deep_Learning #IBM #Learning #Robot #Automotive #Consulting #Government #Insurance #Research #Telecommunicationhttp://bit.ly/2vYQWlb ";;;#AI #Autonomous_Car #Bot #CEO #CTO #Deep_Learning #IBM #Learning #Robot #Automotive #Consulting #Government #Insurance #Research #Telecommunicationhttp;"1028134795287642112";https://twitter.com/SwissCognitive/status/1028134795287642112
;2018/08/10 22:03;3;11;"Calling in from @BlackHatEvents can be tricky, yet @iainthomson from @TheRegister managed to tell @jasonhowell and @meganmorrone about autonomous car hacking vs regular car hacking. Plus, from Hyper-V exploits to blockchain security on @technews_weekly http://www.twit.tv/tnw/44 pic.twitter.com/wtue6jPkth";;@BlackHatEvents @iainthomson @TheRegister @jasonhowell @meganmorrone @technews_weekly;;"1028023937312149509";https://twitter.com/TWiT/status/1028023937312149509
;2018/08/10 16:04;14;13;"What the hell is going on over at @NPR? Once again, we see them going soft on a hate crime, on white supremacists. No, an autonomous car did NOT "run over" Heyer. She was deliberately run-down by a swastika-wearing neo-Nazi. We are calling you out NPR, every time. https://twitter.com/NPR/status/1027722447766745088 …";;@NPR;;"1027933627772850176";https://twitter.com/GrumpyDem/status/1027933627772850176
;2018/08/08 04:13;6;8;"Scale raises $18 million to label data from autonomous car companies like Lyft and Embark https://venturebeat.com/2018/08/07/scale-raises-18-million-to-label-data-from-autonomous-car-companies-like-lyft-and-embark/ …";;;;"1027029883967471616";https://twitter.com/VentureBeat/status/1027029883967471616
;2018/08/07 21:10;17;25;"? @larryellison? asks, “How hard is it to learn to drive an Autonomous car ?!” Answer there is nothing to learn, nothing to do other than to tell it where to go! #autonomousdatabase #Oraclepic.twitter.com/ZTOe7vIHrF";;@larryellison;#autonomousdatabase #Oraclepic;"1026923553466200064";https://twitter.com/SQLMaria/status/1026923553466200064
;2018/08/06 15:43;6;14;"After less than a day on the 5 day #Coding #SummerCamp with @HiveManchester and @DiceyTech at @FederationMCR, Dulcie and Eva have created an amazing autonomous car with #3Dprinted body and crash-preventing sensors. Check it out! #girlsintechpic.twitter.com/ZQDTN4ZZDI";;@HiveManchester @DiceyTech @FederationMCR;#Coding #SummerCamp #3Dprinted #girlsintechpic;"1026478857141059585";https://twitter.com/FederationMCR/status/1026478857141059585
;2018/08/04 05:38;29;44;"What is Machine #Learning? #Autonomous_Car #Deep #Deep_Learning #Machin #Machine_Learning #AI #Automotive #Education #Events #Telecommunication @SwissCognitive - The Global AI Hubhttp://bit.ly/2vkrAxz ";;@SwissCognitive;#Learning #Autonomous_Car #Deep #Deep_Learning #Machin #Machine_Learning #AI #Automotive #Education #Events #Telecommunication;"1025601916825493510";https://twitter.com/DalithSteiger/status/1025601916825493510
;2018/08/02 02:55;2;25;"Sorry, I must expand on this: There are people who acknowledge that this planet has been trashed, but they think the guy whose company is struggling with the autonomous car problem is going to save the day by creating a way to live on another planet.";;;;"1024836102417514496";https://twitter.com/jkyles10/status/1024836102417514496
;2018/07/31 23:37;2;39;"The Trump administration appears to be every guy in my mentions after I tweet about an autonomous car crash. https://twitter.com/jeneps/status/1024409588869877760 …";;;;"1024423854884548608";https://twitter.com/mattdpearce/status/1024423854884548608
;2018/07/28 22:13;10;24;"“Currently, for every hour of on-road autonomous car driving, it takes 800 human hours to process that data so @driveai_ systems can understand it.” Company working to reduce that ratio. http://roadshow.co/ITKc8Y  via @Roadshow";;@driveai_ @Roadshow;;"1023315570509455360";https://twitter.com/TomBamonte/status/1023315570509455360
